N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name,average_steps,parameters
2744,4063355,-1.45989689,0.0002949237,0,13.5810592056,Intel Xeon Gold 6248,Random,1289.5099,
2744,5105474,-1.44538102,0.000294225,0,13.5488844903,Intel Xeon Gold 6248,Random,1279.8512,
2744,7711527,-1.46149419,0.0002951236,0,13.5902644805,Intel Xeon Gold 6248,Random,1288.0511,
2744,9551411,-1.45784259,0.0002975503,0,13.7020125576,Intel Xeon Gold 6248,Random,1292.9317,
2744,9569658,-1.45040349,0.0002945633,0,13.5644630021,Intel Xeon Gold 6248,Random,1285.3805,
2744,11086240,-1.44437804,0.0002956362,0,13.6138694025,Intel Xeon Gold 6248,Random,1286.379,
2744,14949383,-1.4384912,0.0002960703,0,13.6338594467,Intel Xeon Gold 6248,Random,1287.565,
2744,16095495,-1.4608046,0.0002938658,0,13.5323435461,Intel Xeon Gold 6248,Random,1282.5815,
1000,110046,-1.43558086,0.0005799711,0,26.7073207295,Intel Xeon Gold 6248,Reluctant,848.5787,
1000,228274,-1.43401513,0.0005774056,0,26.5891809957,Intel Xeon Gold 6248,Reluctant,845.9035,
1000,1010826,-1.47479705,0.000581131,0,26.7607334277,Intel Xeon Gold 6248,Reluctant,847.8109,
1000,1051560,-1.44247356,0.0005897351,0,27.1569470636,Intel Xeon Gold 6248,Reluctant,863.1769,
1000,1086364,-1.47223782,0.0005830913,0,26.851004065,Intel Xeon Gold 6248,Reluctant,849.7859,
1000,1153328,-1.45213398,0.0005820058,0,26.8010174421,Intel Xeon Gold 6248,Reluctant,850.4804,
1000,1251908,-1.48812004,0.0005815503,0,26.7800419408,Intel Xeon Gold 6248,Reluctant,853.7533,
1000,1430748,-1.4879493,0.000585951,0,26.982691532,Intel Xeon Gold 6248,Reluctant,859.8333,
1000,1494266,-1.49158588,0.0005761565,0,26.5316606912,Intel Xeon Gold 6248,Reluctant,840.1301,
1000,1526610,-1.47248488,0.0005813307,0,26.7699294927,Intel Xeon Gold 6248,Reluctant,850.2331,
1000,1575578,-1.45699782,0.0005784927,0,26.6392412976,Intel Xeon Gold 6248,Reluctant,846.9851,
1000,1631660,-1.47022056,0.0005768347,0,26.5628913937,Intel Xeon Gold 6248,Reluctant,841.7567,
1000,1730477,-1.4363243,0.0005796867,0,26.6942242803,Intel Xeon Gold 6248,Reluctant,845.805,
1000,1769991,-1.52378501,0.0005743745,0,26.4496006617,Intel Xeon Gold 6248,Reluctant,836.9176,
1000,1791529,-1.46853171,0.0005803306,0,26.7238754885,Intel Xeon Gold 6248,Reluctant,846.8928,
1000,1914710,-1.46113243,0.0005838174,0,26.8844405338,Intel Xeon Gold 6248,Reluctant,856.0917,
1000,1958910,-1.49938884,0.0005829982,0,26.8467168659,Intel Xeon Gold 6248,Reluctant,852.7368,
1000,2094269,-1.47690395,0.0005928408,0,27.2999626828,Intel Xeon Gold 6248,Reluctant,866.6722,
1000,2103206,-1.51644581,0.0005854051,0,26.9575531649,Intel Xeon Gold 6248,Reluctant,860.8764,
1000,2254005,-1.46654405,0.000589533,0,27.14764048,Intel Xeon Gold 6248,Reluctant,864.3728,
1000,2261070,-1.44406023,0.0005812987,0,26.7684559119,Intel Xeon Gold 6248,Reluctant,850.919,
1000,2330819,-1.48433847,0.0005814906,0,26.7772927916,Intel Xeon Gold 6248,Reluctant,848.0848,
1000,2471202,-1.43662497,0.000579251,0,26.6741605571,Intel Xeon Gold 6248,Reluctant,843.9706,
1000,10016117,-1.44727436,0.0005819462,0,26.7982728979,Intel Xeon Gold 6248,Reluctant,855.6465,
1000,10289415,-1.47472647,0.0005847207,0,26.9260369561,Intel Xeon Gold 6248,Reluctant,857.3933,
1000,10303962,-1.46855504,0.0005771249,0,26.5762549294,Intel Xeon Gold 6248,Reluctant,841.8487,
1000,10321011,-1.53691225,0.000590316,0,27.1836971596,Intel Xeon Gold 6248,Reluctant,860.8546,
1000,10492586,-1.47901432,0.0005819014,0,26.7962098848,Intel Xeon Gold 6248,Reluctant,852.9413,
1000,10617787,-1.45029877,0.0005887128,0,27.1098707628,Intel Xeon Gold 6248,Reluctant,863.0075,
1000,10680741,-1.44190982,0.0005809621,0,26.7529556841,Intel Xeon Gold 6248,Reluctant,852.2852,
1000,10752963,-1.51242776,0.0005790549,0,26.6651302699,Intel Xeon Gold 6248,Reluctant,848.4,
1000,10759243,-1.483463,0.000588451,0,27.0978150301,Intel Xeon Gold 6248,Reluctant,866.4878,
1000,10785990,-1.4734294,0.000581575,0,26.7811793609,Intel Xeon Gold 6248,Reluctant,853.0818,
1000,10873220,-1.45481697,0.0005778795,0,26.611003806,Intel Xeon Gold 6248,Reluctant,844.8654,
1000,11037872,-1.48395659,0.0005848872,0,26.9337041811,Intel Xeon Gold 6248,Reluctant,857.2788,
1000,11146941,-1.44446047,0.0005878488,0,27.0700840818,Intel Xeon Gold 6248,Reluctant,858.4755,
