N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name
100,1101879,-0.71319868,0.000106013,0.001,0.106013,Linux x86_64,Greedy
100,1101882,-0.72267072,0.000108883,0.002,0.0544415,Linux x86_64,Greedy
100,1101885,-0.72582337,0.00010468,0.001,0.10468,Linux x86_64,Greedy
100,1101888,-0.72354831,0.000104255,0.001,0.104255,Linux x86_64,Greedy
100,1101891,-0.73940756,0.000105473,0.001,0.105473,Linux x86_64,Greedy
100,1101894,-0.71977118,0.000105449,0.001,0.105449,Linux x86_64,Greedy
100,1101897,-0.71213804,0.000101539,0.001,0.101539,Linux x86_64,Greedy
100,1101900,-0.73218793,0.000103645,0.001,0.103645,Linux x86_64,Greedy
100,1101903,-0.7371744,0.00010546,0.002,0.05273,Linux x86_64,Greedy
100,1101906,-0.71702191,0.000107718,0.001,0.107718,Linux x86_64,Greedy
100,1101909,-0.72777703,0.000104779,0.002,0.0523895,Linux x86_64,Greedy
100,1101912,-0.71722619,0.000105287,0.001,0.105287,Linux x86_64,Greedy
100,1101915,-0.72154408,0.000108033,0.001,0.108033,Linux x86_64,Greedy
100,1101918,-0.7001962,0.000106473,0.001,0.106473,Linux x86_64,Greedy
100,1101921,-0.71412633,0.000104543,0.003,0.0348476666667,Linux x86_64,Greedy
100,1101924,-0.71887654,0.000106675,0.001,0.106675,Linux x86_64,Greedy
100,1101927,-0.71346832,0.000106614,0.001,0.106614,Linux x86_64,Greedy
100,1101930,-0.73601587,0.000109299,0.001,0.109299,Linux x86_64,Greedy
100,1101933,-0.73077595,0.000108595,0.001,0.108595,Linux x86_64,Greedy
100,1101936,-0.71981532,0.000106744,0.003,0.0355813333333,Linux x86_64,Greedy
100,1101939,-0.71719847,0.000103874,0.001,0.103874,Linux x86_64,Greedy
100,1101942,-0.72951961,0.000105309,0.001,0.105309,Linux x86_64,Greedy
100,1101945,-0.70968289,0.00010376,0.002,0.05188,Linux x86_64,Greedy
100,1101948,-0.7135601,0.000110689,0.001,0.110689,Linux x86_64,Greedy
100,1101951,-0.71187343,0.000107356,0.001,0.107356,Linux x86_64,Greedy
100,1101954,-0.77353605,0.000109805,0.001,0.109805,Linux x86_64,Greedy
100,1101957,-0.69714588,0.000108042,0.001,0.108042,Linux x86_64,Greedy
100,1101960,-0.74448922,0.000104234,0.001,0.104234,Linux x86_64,Greedy
100,1101963,-0.71136155,0.000108944,0.001,0.108944,Linux x86_64,Greedy
100,1101966,-0.73254246,0.000108444,0.001,0.108444,Linux x86_64,Greedy
100,1101969,-0.74476812,0.000108087,0.002,0.0540435,Linux x86_64,Greedy
100,1101972,-0.73985681,0.000108341,0.001,0.108341,Linux x86_64,Greedy
100,1101975,-0.73296448,0.000108479,0.001,0.108479,Linux x86_64,Greedy
100,1101978,-0.75162794,0.000111538,0.001,0.111538,Linux x86_64,Greedy
100,1101981,-0.71113705,0.000105328,0.001,0.105328,Linux x86_64,Greedy
100,1101984,-0.71840338,0.000105257,0.001,0.105257,Linux x86_64,Greedy
100,1101987,-0.76107954,0.00010724,0.002,0.05362,Linux x86_64,Greedy
100,1101990,-0.76639643,0.000107059,0.001,0.107059,Linux x86_64,Greedy
100,1101993,-0.73824664,0.000104646,0.001,0.104646,Linux x86_64,Greedy
100,1101996,-0.73850822,0.000107516,0.001,0.107516,Linux x86_64,Greedy
100,1101999,-0.7117762,0.00010277,0.001,0.10277,Linux x86_64,Greedy
100,1102002,-0.70195911,0.000107566,0.001,0.107566,Linux x86_64,Greedy
100,1102005,-0.715154,0.000107025,0.001,0.107025,Linux x86_64,Greedy
100,1102008,-0.72347213,0.000106393,0.001,0.106393,Linux x86_64,Greedy
100,1102011,-0.72489736,0.00011463,0.001,0.11463,Linux x86_64,Greedy
100,1102014,-0.73889272,0.000105515,0.001,0.105515,Linux x86_64,Greedy
100,1102017,-0.69855774,0.000106825,0.002,0.0534125,Linux x86_64,Greedy
100,1102020,-0.68428082,0.000104863,0.001,0.104863,Linux x86_64,Greedy
100,1102023,-0.73834461,0.000109878,0.001,0.109878,Linux x86_64,Greedy
100,1102026,-0.73065661,0.000107473,0.001,0.107473,Linux x86_64,Greedy
100,1102029,-0.72947326,0.00010786,0.001,0.10786,Linux x86_64,Greedy
200,1201732,-0.73529486,0.000277987,0.001,0.277987,Linux x86_64,Greedy
200,1201735,-0.74482987,0.00027679,0.001,0.27679,Linux x86_64,Greedy
200,1201738,-0.74307957,0.000276097,0.001,0.276097,Linux x86_64,Greedy
200,1201741,-0.74897491,0.000281757,0.001,0.281757,Linux x86_64,Greedy
200,1201744,-0.75828721,0.000279752,0.001,0.279752,Linux x86_64,Greedy
200,1201747,-0.73565416,0.000280698,0.001,0.280698,Linux x86_64,Greedy
200,1201750,-0.73843476,0.000279761,0.001,0.279761,Linux x86_64,Greedy
200,1201753,-0.76121824,0.000286588,0.002,0.143294,Linux x86_64,Greedy
200,1201756,-0.73900178,0.000280709,0.001,0.280709,Linux x86_64,Greedy
200,1201759,-0.7476019,0.000282335,0.001,0.282335,Linux x86_64,Greedy
200,1201762,-0.73110225,0.000281205,0.001,0.281205,Linux x86_64,Greedy
200,1201765,-0.72575285,0.000279645,0.001,0.279645,Linux x86_64,Greedy
200,1201768,-0.72667107,0.000279214,0.001,0.279214,Linux x86_64,Greedy
200,1201771,-0.73928332,0.000279344,0.001,0.279344,Linux x86_64,Greedy
200,1201774,-0.73433325,0.000279116,0.001,0.279116,Linux x86_64,Greedy
